dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,single_trial_correlation,cell_id
,,[-0.1  -0.25],"[[ 0.06 -0.01]
 [ 0.04 -0.04]]",[0.71 0.71],"[[0.11 0.02]
 [0.07 0.07]]",[ 0.57 -1.  ],[-0.98  0.86],[-0.4  -0.28],[ 0.89 -0.99],[-0.6   0.17],"[[-0.    0.01]
 [ 0.01 -0.01]]","[[ 0.01 -0.  ]
 [ 0.19 -0.01]]","[[ 0.01  0.01]
 [-0.02  0.  ]]","[[ 0.27 -0.05]
 [ 0.03 -0.17]]","[[ 0.   -0.01]
 [ 0.01  0.  ]]",,
,,[ 0.18 -0.19],"[[ 0.04 -0.01]
 [-0.01 -0.01]]",[0.71 0.73],"[[0.05 0.05]
 [0.02 0.11]]",[ 1. -1.],[-0.99  0.9 ],[ 0.12 -0.16],[ 0.83 -0.98],[-0.06  0.29],"[[-0.   -0.  ]
 [ 0.    0.01]]","[[ 0.12 -0.1 ]
 [ 0.   -0.19]]","[[-0. -0.]
 [ 0. -0.]]","[[ 0.07  0.06]
 [-0.04  0.15]]","[[-0.    0.01]
 [-0.   -0.  ]]",,
,,[ 0.18 -0.2 ],"[[ 0.01  0.01]
 [-0.02 -0.03]]",[0.71 0.72],"[[0.09 0.05]
 [0.07 0.05]]",[ 1. -1.],[-0.98  0.86],[ 0.12 -0.16],[ 0.86 -0.98],[-0.09  0.28],"[[ 0.    0.  ]
 [ 0.01 -0.01]]","[[-0.1   0.11]
 [-0.17 -0.1 ]]","[[-0.    0.  ]
 [ 0.    0.02]]","[[ 0.16 -0.05]
 [ 0.04 -0.08]]","[[-0. -0.]
 [-0.  0.]]",,
,,[ 0.11 -0.21],"[[0.   0.  ]
 [0.01 0.  ]]",[0.73 0.71],"[[0.04 0.08]
 [0.02 0.02]]",[ 1. -1.],[-0.97  0.83],[-0.07 -0.19],[ 0.84 -0.98],[-0.26  0.28],"[[ 0.   -0.  ]
 [ 0.02 -0.02]]","[[ 0.06  0.12]
 [ 0.04 -0.01]]","[[ 0.  0.]
 [-0. -0.]]","[[-0.06 -0.13]
 [-0.02  0.04]]","[[0.   0.01]
 [0.   0.01]]",,
,,[ 0.1  -0.22],"[[-0.    0.03]
 [-0.    0.03]]",[0.74 0.71],"[[0.04 0.08]
 [0.02 0.07]]",[ 1. -1.],[-0.97  0.83],[-0.1  -0.21],[ 0.85 -0.98],[-0.29  0.26],"[[ 0.01  0.  ]
 [-0.01 -0.02]]","[[ 0.05 -0.03]
 [-0.03 -0.02]]","[[ 0.   -0.  ]
 [-0.01  0.  ]]","[[-0.07  0.2 ]
 [ 0.03  0.17]]","[[-0.   -0.  ]
 [ 0.   -0.01]]",,
,,[-0.01 -0.24],"[[-0.03 -0.02]
 [ 0.01 -0.05]]",[0.7  0.69],"[[0.04 0.06]
 [0.02 0.06]]",[ 0.72 -1.  ],[-0.96  0.8 ],[-0.24 -0.24],[ 0.87 -0.98],[-0.42  0.21],"[[-0.01 -0.  ]
 [-0.01  0.01]]","[[-0.09  0.04]
 [ 0.04 -0.13]]","[[ 0.   -0.  ]
 [-0.01  0.  ]]","[[-0.03 -0.14]
 [ 0.01 -0.12]]","[[ 0.   -0.  ]
 [ 0.01  0.  ]]",,
,,[ 0.13 -0.21],"[[-0.02 -0.01]
 [-0.02 -0.02]]",[0.72 0.71],"[[0.05 0.03]
 [0.05 0.02]]",[ 1. -1.],[-0.97  0.83],[ 0.01 -0.18],[ 0.84 -0.98],[-0.21  0.3 ],"[[-0.01 -0.  ]
 [-0.   -0.  ]]","[[ 0.05  0.  ]
 [ 0.03 -0.04]]","[[-0.01  0.  ]
 [ 0.   -0.  ]]","[[-0.12 -0.07]
 [-0.11 -0.06]]","[[-0.    0.  ]
 [ 0.   -0.01]]",,
,,[-0.04 -0.24],"[[-0.04 -0.  ]
 [ 0.01 -0.02]]",[0.73 0.72],"[[0.06 0.01]
 [0.02 0.05]]",[ 0.68 -1.  ],[-0.98  0.87],[-0.32 -0.26],[ 0.94 -0.99],[-0.51  0.2 ],"[[-0.    0.  ]
 [ 0.01  0.02]]","[[-0.05  0.01]
 [ 0.02 -0.01]]","[[ 0.   -0.01]
 [-0.01  0.  ]]","[[-0.14 -0.02]
 [ 0.04 -0.13]]","[[0.   0.01]
 [0.01 0.  ]]",,
,,[-0.14 -0.24],"[[ 0.02  0.02]
 [ 0.02 -0.  ]]",[0.73 0.73],"[[0.03 0.02]
 [0.04 0.01]]",[ 0.52 -1.  ],[-0.99  0.94],[-0.46 -0.29],[ 0.91 -0.99],[-0.68  0.15],"[[-0.   -0.01]
 [-0.    0.  ]]","[[ 0.02  0.05]
 [ 0.02 -0.01]]","[[-0.01  0.01]
 [-0.01  0.  ]]","[[ 0.08  0.03]
 [ 0.09 -0.01]]","[[-0.  0.]
 [-0. -0.]]",,
,,[-0.14 -0.24],"[[-0.05 -0.02]
 [-0.01 -0.03]]",[0.73 0.73],"[[0.08 0.07]
 [0.04 0.03]]",[ 0.51 -1.  ],[-0.99  0.95],[-0.47 -0.29],[ 0.91 -0.99],[-0.68  0.15],"[[ 0.   -0.  ]
 [-0.01 -0.01]]","[[-0.21  0.04]
 [-0.07 -0.07]]","[[-0.  0.]
 [-0.  0.]]","[[-0.05 -0.15]
 [ 0.05 -0.06]]","[[-0.    0.  ]
 [-0.   -0.01]]",,
,,[-0.18 -0.25],"[[-0.03  0.03]
 [-0.05 -0.02]]",[0.72 0.73],"[[0.03 0.04]
 [0.05 0.04]]",[ 0.43 -1.  ],[-0.99  0.92],[-0.5 -0.3],[ 0.91 -0.99],[-0.72  0.13],"[[ 0.    0.  ]
 [-0.01 -0.02]]","[[-0.04  0.02]
 [-0.1   0.02]]","[[-0.01 -0.  ]
 [-0.    0.  ]]","[[-0.08  0.11]
 [-0.11 -0.08]]","[[-0.01  0.  ]
 [-0.   -0.  ]]",,
,,[ 0.02 -0.21],"[[ 0.04  0.  ]
 [ 0.01 -0.01]]",[0.7  0.72],"[[0.07 0.01]
 [0.08 0.04]]",[ 0.76 -1.  ],[-0.98  0.87],[-0.19 -0.15],[ 0.88 -0.98],[-0.37  0.23],"[[-0.    0.  ]
 [ 0.    0.01]]","[[ 0.04 -0.01]
 [-0.12 -0.09]]","[[-0.01 -0.  ]
 [ 0.   -0.  ]]","[[0.18 0.01]
 [0.15 0.04]]","[[0. 0.]
 [0. 0.]]",,
,,[-0.03 -0.23],"[[ 0.02  0.01]
 [-0.02  0.01]]",[0.73 0.72],"[[0.06 0.01]
 [0.06 0.02]]",[ 0.71 -1.  ],[-0.98  0.89],[-0.31 -0.26],[ 0.94 -0.99],[-0.5  0.2],"[[-0.01  0.01]
 [-0.   -0.01]]","[[-0.02  0.03]
 [ 0.04  0.04]]","[[-0.    0.  ]
 [-0.   -0.01]]","[[ 0.13  0.01]
 [-0.15  0.03]]","[[ 0.  0.]
 [ 0. -0.]]",,
,,[ 0.14 -0.19],"[[-0.07 -0.04]
 [ 0.   -0.04]]",[0.73 0.73],"[[0.14 0.05]
 [0.09 0.06]]",[ 1. -1.],[-0.98  0.87],[-0.02 -0.11],[ 0.88 -0.99],[-0.2  0.3],"[[-0.01 -0.  ]
 [ 0.01  0.01]]","[[-0.   -0.13]
 [ 0.15 -0.05]]","[[ 0.   -0.01]
 [-0.01 -0.01]]","[[-0.34 -0.06]
 [-0.13 -0.16]]","[[-0.   -0.  ]
 [ 0.01 -0.01]]",,
,,[ 0.12 -0.19],"[[-0.    0.04]
 [ 0.04  0.04]]",[0.74 0.72],"[[0.02 0.05]
 [0.04 0.06]]",[ 1. -1.],[-0.98  0.86],[-0.06 -0.12],[ 0.87 -0.98],[-0.24  0.3 ],"[[0.01 0.  ]
 [0.01 0.  ]]","[[0.   0.13]
 [0.09 0.03]]","[[ 0.01 -0.  ]
 [ 0.01  0.01]]","[[-0.04  0.07]
 [ 0.08  0.15]]","[[0.01 0.  ]
 [0.01 0.  ]]",,
,,[ 0.14 -0.17],"[[-0.01 -0.01]
 [-0.01 -0.  ]]",[0.74 0.74],"[[0.09 0.04]
 [0.05 0.01]]",[ 1. -1.],[-0.99  0.91],[-0.02 -0.09],[ 0.9  -0.99],[-0.2  0.3],"[[-0.01 -0.  ]
 [-0.   -0.01]]","[[0.12 0.02]
 [0.05 0.01]]","[[-0.01 -0.  ]
 [-0.   -0.  ]]","[[-0.18 -0.09]
 [-0.09 -0.01]]","[[0.   0.  ]
 [0.   0.01]]",,
,,[-0.09 -0.24],"[[-0.01  0.  ]
 [-0.02  0.01]]",[0.71 0.71],"[[0.05 0.01]
 [0.02 0.02]]",[ 0.58 -1.  ],[-0.98  0.87],[-0.37 -0.27],[ 0.89 -0.98],[-0.56  0.18],"[[-0.    0.  ]
 [ 0.    0.03]]","[[-0.09  0.01]
 [-0.05  0.01]]","[[-0.01  0.01]
 [-0.01 -0.02]]","[[ 0.06 -0.01]
 [-0.03  0.05]]","[[ 0.    0.  ]
 [-0.01  0.  ]]",,
,,[ 0.01 -0.19],"[[ 0.02 -0.03]
 [-0.01 -0.02]]",[0.71 0.74],"[[0.02 0.06]
 [0.01 0.06]]",[ 0.75 -1.  ],[-0.99  0.93],[-0.2  -0.12],[ 0.9  -0.99],[-0.38  0.22],"[[ 0.    0.01]
 [-0.01  0.  ]]","[[ 0.04 -0.02]
 [-0.02  0.04]]","[[-0.   -0.  ]
 [-0.01  0.  ]]","[[ 0.05 -0.14]
 [-0.02 -0.13]]","[[ 0. -0.]
 [ 0.  0.]]",,
,,[-0.19 -0.25],"[[ 0.01  0.01]
 [ 0.02 -0.01]]",[0.73 0.72],"[[0.02 0.02]
 [0.02 0.04]]",[ 0.39 -1.  ],[-0.99  0.91],[-0.52 -0.31],[ 0.92 -0.99],[-0.76  0.12],"[[0.   0.  ]
 [0.01 0.01]]","[[0.06 0.04]
 [0.04 0.03]]","[[ 0. -0.]
 [ 0. -0.]]","[[ 0.    0.01]
 [ 0.05 -0.09]]","[[-0.   -0.  ]
 [ 0.01  0.  ]]",,
,,[ 0.14 -0.2 ],"[[ 0.02 -0.03]
 [ 0.02  0.  ]]",[0.73 0.72],"[[0.05 0.06]
 [0.03 0.02]]",[ 1. -1.],[-0.97  0.84],[ 0.01 -0.14],[ 0.87 -0.98],[-0.19  0.3 ],"[[-0.   -0.01]
 [-0.02 -0.  ]]","[[-0.02 -0.15]
 [ 0.05 -0.02]]","[[-0.02  0.  ]
 [ 0.01 -0.  ]]","[[ 0.12 -0.01]
 [ 0.04  0.05]]","[[-0.  0.]
 [-0.  0.]]",,
,,[ 0.18 -0.19],"[[-0.    0.05]
 [-0.02  0.02]]",[0.71 0.73],"[[0.04 0.09]
 [0.05 0.03]]",[ 1. -1.],[-0.98  0.89],[ 0.11 -0.16],[ 0.83 -0.98],[-0.07  0.28],"[[ 0.01  0.01]
 [-0.    0.01]]","[[ 0.05  0.03]
 [-0.12 -0.  ]]","[[-0.   -0.  ]
 [ 0.    0.01]]","[[-0.07  0.22]
 [ 0.    0.09]]","[[ 0.01 -0.  ]
 [ 0.    0.  ]]",,
,,[-0.09 -0.25],"[[ 0.02 -0.05]
 [-0.05  0.03]]",[0.71 0.7 ],"[[0.02 0.06]
 [0.09 0.08]]",[ 0.58 -1.  ],[-0.97  0.83],[-0.37 -0.27],[ 0.9  -0.99],[-0.57  0.18],"[[-0.   -0.01]
 [-0.01 -0.01]]","[[ 0.03 -0.12]
 [ 0.01  0.19]]","[[ 0.01  0.01]
 [-0.01  0.  ]]","[[ 0.04 -0.11]
 [-0.23 -0.01]]","[[-0.   -0.  ]
 [ 0.01 -0.  ]]",,
,,[ 0.14 -0.18],"[[-0.01  0.01]
 [-0.04  0.03]]",[0.74 0.74],"[[0.07 0.08]
 [0.06 0.04]]",[ 1. -1.],[-0.99  0.9 ],[-0.   -0.09],[ 0.9  -0.99],[-0.19  0.3 ],"[[ 0.   -0.  ]
 [-0.    0.01]]","[[ 0.1  -0.11]
 [-0.1   0.11]]","[[-0.01  0.  ]
 [ 0.   -0.  ]]","[[-0.12  0.15]
 [-0.13  0.05]]","[[-0.    0.  ]
 [ 0.   -0.01]]",,
,,[ 0.13 -0.18],"[[ 0.   -0.03]
 [ 0.   -0.01]]",[0.74 0.74],"[[0.04 0.06]
 [0.06 0.02]]",[ 1. -1.],[-0.99  0.9 ],[-0.04 -0.1 ],[ 0.89 -0.99],[-0.23  0.3 ],"[[ 0.    0.  ]
 [-0.01 -0.01]]","[[-0.06  0.  ]
 [-0.08  0.01]]","[[-0.   -0.  ]
 [-0.01 -0.01]]","[[ 0.07 -0.15]
 [ 0.11 -0.05]]","[[ 0.    0.  ]
 [-0.    0.01]]",,
,,[ 0.04 -0.19],"[[-0.01 -0.03]
 [-0.02 -0.03]]",[0.71 0.74],"[[0.05 0.06]
 [0.04 0.04]]",[ 0.79 -1.  ],[-0.99  0.92],[-0.16 -0.11],[ 0.89 -0.99],[-0.34  0.23],"[[ 0.   -0.  ]
 [ 0.03  0.  ]]","[[ 0.06 -0.15]
 [-0.1  -0.08]]","[[ 0.   -0.  ]
 [-0.01  0.  ]]","[[-0.1  -0.  ]
 [-0.01 -0.06]]","[[0.   0.  ]
 [0.   0.01]]",,
,,[ 0.19 -0.2 ],"[[ 0.01 -0.04]
 [ 0.02 -0.  ]]",[0.71 0.72],"[[0.03 0.05]
 [0.06 0.01]]",[ 1. -1.],[-0.98  0.86],[ 0.13 -0.16],[ 0.86 -0.98],[-0.08  0.28],"[[-0.01 -0.01]
 [-0.    0.  ]]","[[-0.02 -0.11]
 [ 0.14 -0.01]]","[[-0.    0.  ]
 [-0.01  0.  ]]","[[ 0.06 -0.09]
 [-0.01 -0.01]]","[[-0.  0.]
 [-0. -0.]]",,
,,[ 0.19 -0.19],"[[0.02 0.04]
 [0.03 0.02]]",[0.71 0.73],"[[0.07 0.05]
 [0.08 0.06]]",[ 1. -1.],[-0.98  0.89],[ 0.13 -0.16],[ 0.85 -0.98],[-0.04  0.29],"[[-0.   -0.01]
 [-0.01  0.01]]","[[-0.05  0.05]
 [-0.02  0.14]]","[[-0.    0.01]
 [ 0.    0.  ]]","[[ 0.17  0.13]
 [ 0.18 -0.05]]","[[ 0.01  0.  ]
 [-0.01 -0.01]]",,
,,[ 0.11 -0.21],"[[-0.02 -0.02]
 [-0.01 -0.02]]",[0.73 0.71],"[[0.09 0.04]
 [0.02 0.03]]",[ 1. -1.],[-0.97  0.81],[-0.07 -0.17],[ 0.84 -0.98],[-0.25  0.29],"[[-0.   -0.  ]
 [ 0.01  0.01]]","[[ 0.1  -0.1 ]
 [-0.01 -0.06]]","[[-0.01 -0.  ]
 [-0.01  0.01]]","[[-0.18  0.  ]
 [-0.04 -0.04]]","[[-0. -0.]
 [ 0.  0.]]",,
,,[-0.03 -0.23],"[[ 0.05  0.  ]
 [-0.02 -0.01]]",[0.74 0.73],"[[0.06 0.04]
 [0.07 0.02]]",[ 0.71 -1.  ],[-0.99  0.9 ],[-0.31 -0.26],[ 0.94 -1.  ],[-0.5  0.2],"[[-0.    0.  ]
 [ 0.01 -0.01]]","[[ 0.12 -0.06]
 [ 0.05 -0.01]]","[[ 0.  0.]
 [-0. -0.]]","[[ 0.12  0.07]
 [-0.16 -0.04]]","[[ 0.   -0.  ]
 [ 0.01  0.01]]",,
,,[ 0.03 -0.22],"[[-0.02  0.  ]
 [-0.02  0.02]]",[0.7  0.71],"[[0.09 0.01]
 [0.07 0.03]]",[ 0.78 -1.  ],[-0.97  0.83],[-0.17 -0.18],[ 0.86 -0.98],[-0.36  0.23],"[[ 0.01 -0.  ]
 [ 0.02 -0.02]]","[[ 0.09 -0.  ]
 [ 0.05  0.02]]","[[-0.01 -0.  ]
 [ 0.02 -0.  ]]","[[-0.18  0.01]
 [-0.16  0.08]]","[[-0.   -0.  ]
 [-0.01  0.  ]]",,
,,[ 0.17 -0.2 ],"[[-0.02 -0.02]
 [-0.02  0.  ]]",[0.71 0.72],"[[0.09 0.07]
 [0.03 0.01]]",[ 1. -1.],[-0.98  0.85],[ 0.11 -0.16],[ 0.83 -0.98],[-0.1   0.28],"[[0.04 0.01]
 [0.01 0.01]]","[[-0.2  -0.15]
 [-0.05 -0.01]]","[[-0.01 -0.  ]
 [ 0.    0.01]]","[[ 0.05  0.04]
 [-0.05 -0.  ]]","[[0. 0.]
 [0. 0.]]",,
,,[-0.08 -0.24],"[[-0.02 -0.02]
 [ 0.03  0.02]]",[0.7  0.71],"[[0.08 0.03]
 [0.04 0.05]]",[ 0.59 -1.  ],[-0.98  0.85],[-0.36 -0.27],[ 0.89 -0.98],[-0.55  0.19],"[[ 0.01  0.  ]
 [ 0.01 -0.01]]","[[-0.17 -0.08]
 [ 0.08 -0.01]]","[[ 0.01 -0.  ]
 [ 0.   -0.01]]","[[ 0.06 -0.01]
 [ 0.08  0.11]]","[[-0.   -0.  ]
 [ 0.    0.01]]",,
,,[-0.02 -0.19],"[[0.05 0.06]
 [0.02 0.  ]]",[0.71 0.74],"[[0.07 0.09]
 [0.03 0.01]]",[ 0.71 -1.  ],[-0.99  0.94],[-0.25 -0.13],[ 0.9  -0.99],[-0.44  0.21],"[[-0.01 -0.  ]
 [ 0.01 -0.  ]]","[[ 0.11  0.07]
 [ 0.06 -0.01]]","[[-0.01 -0.  ]
 [-0.01  0.01]]","[[0.14 0.24]
 [0.06 0.02]]","[[-0.01  0.01]
 [-0.   -0.  ]]",,
,,[-0.11 -0.23],"[[-0.01  0.05]
 [-0.    0.05]]",[0.73 0.74],"[[0.03 0.07]
 [0.01 0.1 ]]",[ 0.58 -1.  ],[-0.99  0.94],[-0.43 -0.25],[ 0.91 -0.99],[-0.63  0.16],"[[-0.   -0.  ]
 [ 0.01 -0.01]]","[[-0.07  0.05]
 [-0.02 -0.01]]","[[ 0.01  0.  ]
 [-0.01  0.03]]","[[-0.01  0.19]
 [-0.    0.25]]","[[ 0. -0.]
 [ 0. -0.]]",,
,,[ 0.12 -0.21],"[[ 0.   -0.01]
 [-0.02  0.03]]",[0.74 0.73],"[[0.01 0.09]
 [0.05 0.05]]",[ 1. -1.],[-0.99  0.89],[-0.05 -0.2 ],[ 0.87 -0.98],[-0.23  0.25],"[[0.01 0.01]
 [0.01 0.  ]]","[[ 0.01 -0.16]
 [-0.12  0.  ]]","[[-0.01 -0.01]
 [ 0.    0.  ]]","[[0.01 0.11]
 [0.02 0.13]]","[[-0. -0.]
 [ 0.  0.]]",,
,,[-0.15 -0.24],"[[-0.02 -0.05]
 [-0.01 -0.02]]",[0.73 0.73],"[[0.07 0.05]
 [0.02 0.03]]",[ 0.49 -1.  ],[-0.99  0.95],[-0.48 -0.3 ],[ 0.91 -0.99],[-0.7   0.14],"[[-0.   -0.01]
 [-0.01 -0.02]]","[[-0.15 -0.14]
 [-0.05 -0.03]]","[[ 0.01 -0.  ]
 [ 0.01  0.01]]","[[ 0.03 -0.07]
 [-0.02 -0.07]]","[[-0.   -0.  ]
 [ 0.01  0.01]]",,
,,[ 0.13 -0.21],"[[ 0.   -0.02]
 [ 0.03  0.02]]",[0.72 0.71],"[[0.04 0.02]
 [0.05 0.04]]",[ 1. -1.],[-0.97  0.83],[ 0.   -0.18],[ 0.84 -0.98],[-0.21  0.3 ],"[[-0.01 -0.01]
 [ 0.01  0.01]]","[[ 0.08 -0.06]
 [ 0.13  0.1 ]]","[[ 0.01  0.  ]
 [-0.01 -0.01]]","[[-0.06 -0.02]
 [ 0.03 -0.  ]]","[[ 0.   -0.  ]
 [-0.   -0.01]]",,
,,[ 0.1  -0.22],"[[ 0.    0.02]
 [-0.01  0.  ]]",[0.73 0.7 ],"[[0.01 0.04]
 [0.03 0.02]]",[ 1. -1.],[-0.97  0.82],[-0.1  -0.21],[ 0.85 -0.98],[-0.3   0.25],"[[-0.01 -0.01]
 [-0.01  0.  ]]","[[0.03 0.1 ]
 [0.02 0.05]]","[[-0.01 -0.01]
 [-0.01 -0.  ]]","[[ 0.01  0.01]
 [-0.07 -0.03]]","[[ 0. -0.]
 [-0.  0.]]",,
,,[-0.   -0.24],"[[ 0.03 -0.02]
 [-0.03 -0.  ]]",[0.71 0.71],"[[0.03 0.08]
 [0.04 0.09]]",[ 0.74 -1.  ],[-0.97  0.83],[-0.24 -0.24],[ 0.9  -0.99],[-0.44  0.21],"[[ 0.01 -0.01]
 [-0.01  0.01]]","[[ 0.06 -0.17]
 [-0.12  0.11]]","[[-0.    0.  ]
 [-0.01  0.01]]","[[ 0.08  0.06]
 [-0.01 -0.16]]","[[-0.   -0.  ]
 [-0.01  0.01]]",,
,,[ 0.1  -0.22],"[[-0.02 -0.01]
 [-0.02  0.  ]]",[0.73 0.7 ],"[[0.02 0.04]
 [0.02 0.02]]",[ 1. -1.],[-0.96  0.8 ],[-0.09 -0.17],[ 0.85 -0.98],[-0.27  0.27],"[[-0.    0.  ]
 [-0.    0.01]]","[[-0.06 -0.09]
 [-0.05 -0.03]]","[[0.   0.  ]
 [0.01 0.01]]","[[-0.03  0.02]
 [-0.05  0.03]]","[[ 0.   -0.  ]
 [-0.01  0.  ]]",,
,,[-0.04 -0.2 ],"[[ 0.   -0.02]
 [ 0.02 -0.01]]",[0.72 0.74],"[[0.01 0.05]
 [0.04 0.03]]",[ 0.68 -1.  ],[-0.99  0.94],[-0.3  -0.15],[ 0.9  -0.99],[-0.49  0.2 ],"[[ 0.   -0.  ]
 [-0.02  0.01]]","[[ 0.02 -0.12]
 [ 0.05 -0.01]]","[[0.   0.01]
 [0.   0.01]]","[[ 0.   -0.01]
 [ 0.09 -0.06]]","[[-0.  0.]
 [ 0. -0.]]",,
,,[ 0.14 -0.2 ],"[[ 0.04  0.01]
 [-0.03  0.04]]",[0.72 0.71],"[[0.06 0.01]
 [0.05 0.07]]",[ 1. -1.],[-0.97  0.82],[ 0.02 -0.16],[ 0.85 -0.98],[-0.2  0.3],"[[0.01 0.  ]
 [0.01 0.01]]","[[ 0.16 -0.01]
 [-0.13  0.18]]","[[-0.    0.01]
 [ 0.01 -0.01]]","[[ 0.03  0.03]
 [-0.04  0.01]]","[[ 0. -0.]
 [ 0.  0.]]",,
,,[ 0.1  -0.22],"[[-0.   -0.02]
 [-0.01  0.03]]",[0.73 0.71],"[[0.1  0.04]
 [0.02 0.05]]",[ 1. -1.],[-0.97  0.83],[-0.08 -0.2 ],[ 0.84 -0.98],[-0.27  0.27],"[[-0.  0.]
 [-0.  0.]]","[[-0.15  0.01]
 [-0.05  0.12]]","[[ 0.   -0.  ]
 [ 0.02  0.01]]","[[ 0.15 -0.1 ]
 [-0.02 -0.01]]","[[-0.    0.01]
 [-0.01  0.  ]]",,
,,[-0.13 -0.24],"[[ 0.03  0.01]
 [-0.02  0.01]]",[0.72 0.72],"[[0.04 0.02]
 [0.03 0.01]]",[ 0.52 -1.  ],[-0.99  0.9 ],[-0.44 -0.29],[ 0.9  -0.99],[-0.66  0.16],"[[ 0.   -0.01]
 [ 0.    0.01]]","[[ 0.01  0.04]
 [-0.07  0.03]]","[[ 0.   -0.  ]
 [-0.    0.01]]","[[ 0.12 -0.01]
 [-0.02  0.02]]","[[ 0.01  0.  ]
 [-0.    0.  ]]",,
,,[-0.04 -0.23],"[[ 0.02 -0.  ]
 [ 0.02 -0.02]]",[0.71 0.72],"[[0.03 0.07]
 [0.04 0.03]]",[ 0.66 -1.  ],[-0.98  0.89],[-0.3  -0.23],[ 0.89 -0.99],[-0.48  0.2 ],"[[ 0.   -0.01]
 [-0.01  0.  ]]","[[ 0.06  0.1 ]
 [ 0.02 -0.01]]","[[ 0.   -0.  ]
 [ 0.01 -0.01]]","[[ 0.05 -0.1 ]
 [ 0.09 -0.09]]","[[-0.   -0.  ]
 [-0.01  0.01]]",,
,,[ 0.19 -0.19],"[[-0.01 -0.04]
 [ 0.01 -0.01]]",[0.72 0.73],"[[0.02 0.06]
 [0.02 0.05]]",[ 1. -1.],[-0.98  0.88],[ 0.13 -0.16],[ 0.87 -0.99],[-0.06  0.29],"[[-0.   -0.  ]
 [-0.01 -0.01]]","[[-0.06 -0.02]
 [ 0.02  0.04]]","[[-0.  0.]
 [-0. -0.]]","[[-0.   -0.16]
 [ 0.03 -0.1 ]]","[[-0.   -0.  ]
 [-0.01  0.  ]]",,
,,[ 0.14 -0.2 ],"[[-0.01  0.01]
 [-0.02  0.03]]",[0.72 0.72],"[[0.05 0.02]
 [0.03 0.07]]",[ 1. -1.],[-0.97  0.83],[ 0.02 -0.15],[ 0.86 -0.98],[-0.19  0.3 ],"[[-0.01 -0.01]
 [ 0.01 -0.01]]","[[ 0.05  0.05]
 [-0.07 -0.01]]","[[ 0.01 -0.  ]
 [ 0.    0.  ]]","[[-0.11 -0.01]
 [-0.06  0.17]]","[[ 0. -0.]
 [-0. -0.]]",,
,,[ 0.14 -0.19],"[[ 0.02  0.  ]
 [-0.02 -0.03]]",[0.73 0.73],"[[0.03 0.01]
 [0.02 0.04]]",[ 1. -1.],[-0.98  0.86],[-0.02 -0.12],[ 0.88 -0.99],[-0.2   0.31],"[[-0.   -0.01]
 [-0.01  0.  ]]","[[ 0.02 -0.01]
 [-0.06 -0.03]]","[[ 0.01  0.  ]
 [-0.   -0.  ]]","[[ 0.08  0.03]
 [-0.02 -0.12]]","[[0.01 0.  ]
 [0.   0.  ]]",,
,,[ 0.18 -0.2 ],"[[-0.02  0.03]
 [-0.01 -0.01]]",[0.72 0.72],"[[0.03 0.03]
 [0.08 0.03]]",[ 1. -1.],[-0.98  0.86],[ 0.12 -0.16],[ 0.86 -0.98],[-0.09  0.28],"[[ 0.   -0.  ]
 [ 0.    0.01]]","[[-0.04  0.08]
 [ 0.1  -0.01]]","[[-0.    0.  ]
 [-0.    0.01]]","[[-0.06  0.05]
 [-0.16 -0.07]]","[[-0. -0.]
 [ 0.  0.]]",,
,,[ 0.05 -0.2 ],"[[-0.02  0.06]
 [-0.04  0.03]]",[0.71 0.72],"[[0.05 0.1 ]
 [0.07 0.06]]",[ 0.82 -1.  ],[-0.98  0.88],[-0.13 -0.13],[ 0.88 -0.98],[-0.32  0.24],"[[ 0.   -0.  ]
 [ 0.   -0.01]]","[[-0.12  0.03]
 [-0.01  0.03]]","[[ 0.01  0.01]
 [ 0.   -0.01]]","[[ 0.02  0.25]
 [-0.19  0.16]]","[[ 0.  0.]
 [-0.  0.]]",,
,,[ 0.17 -0.2 ],"[[ 0.01 -0.  ]
 [ 0.03  0.  ]]",[0.71 0.72],"[[0.03 0.  ]
 [0.05 0.02]]",[ 1. -1.],[-0.98  0.84],[ 0.11 -0.16],[ 0.84 -0.98],[-0.11  0.27],"[[-0.   -0.  ]
 [ 0.01  0.  ]]","[[ 0.07 -0.01]
 [ 0.   -0.02]]","[[-0.01  0.  ]
 [ 0.    0.01]]","[[-0.01 -0.01]
 [ 0.14  0.03]]","[[ 0. -0.]
 [ 0. -0.]]",,
,,[-0.04 -0.24],"[[-0.05 -0.02]
 [-0.02 -0.02]]",[0.72 0.71],"[[0.05 0.04]
 [0.04 0.02]]",[ 0.67 -1.  ],[-0.98  0.85],[-0.32 -0.26],[ 0.93 -0.99],[-0.51  0.2 ],"[[-0.01 -0.  ]
 [-0.   -0.02]]","[[-0.14  0.01]
 [-0.1  -0.02]]","[[-0.01 -0.  ]
 [-0.   -0.  ]]","[[-0.08 -0.1 ]
 [-0.01 -0.06]]","[[-0. -0.]
 [-0.  0.]]",,
